CategoryNo;Category;Number;Title;Page;Image;Offset
1;Vorbemerkungen;1;Vorbemerkungen;1;17;16
1;Vorbemerkungen;2;Der Kaffee;3;19;16
1;Vorbemerkungen;3;Die Kaffee-Bereitung;9;25;16
1;Vorbemerkungen;4;Die Kaffee-Sorten;20;36;16
1;Vorbemerkungen;5;Die Kaffee-Surrogate;21;37;16
1;Vorbemerkungen;6;Der Thee;24;40;16
1;Vorbemerkungen;7;Die Schokolade;29;45;16
1;Vorbemerkungen;8;Der Kaffeetisch;34;50;16
1;Vorbemerkungen;9;Der Theetisch;37;53;16
2;Kuchen und Brezeln;1;Rheinische Neujahrs-Brezel;43;59;16
2;Kuchen und Brezeln;2;Rollkuchen;51;67;16
2;Kuchen und Brezeln;3;Zimtkuchen;59;75;16
2;Kuchen und Brezeln;4;Rheinischer Kringel;67;83;16
2;Kuchen und Brezeln;5;Potkuchen;75;91;16
2;Kuchen und Brezeln;6;Braunschweiger Kuchen;83;99;16
2;Kuchen und Brezeln;7;Mürber Kaffeekuchen;91;107;16
2;Kuchen und Brezeln;8;Apostelkuchen (Brioche);97;113;16
2;Kuchen und Brezeln;9;Sächsischer Kuchen;105;121;16
2;Kuchen und Brezeln;10;Altdeutscher Napfkuchen;111;127;16
2;Kuchen und Brezeln;11;Schmalzkuchen;119;135;16
2;Kuchen und Brezeln;12;Dresdener Stolle;125;141;16
2;Kuchen und Brezeln;13;Portugieser Theekuchen;135;151;16
2;Kuchen und Brezeln;14;Sächsischer Butterzopf;143;159;16
2;Kuchen und Brezeln;15;Speckkuchen;151;167;16
2;Kuchen und Brezeln;16;Englischer Puffer;157;173;16
2;Kuchen und Brezeln;17;Schlesischer Streußelkuchen;165;181;16
2;Kuchen und Brezeln;18;Amerikanischer Kuchen (Sponge-Cake);171;187;16
2;Kuchen und Brezeln;19;Gußkuchen;177;193;16
2;Kuchen und Brezeln;20;Makronenkuchen;187;203;16
2;Kuchen und Brezeln;21;Wiener Kuchen;193;209;16
2;Kuchen und Brezeln;22;Weinkuchen;201;217;16
2;Kuchen und Brezeln;23;Schwäbischer Gugelhopf;207;223;16
2;Kuchen und Brezeln;24;Gelber Weihnachts-Kringel;215;231;16
3;Torten;25;Schwarzbrot-Torte;46;62;16
3;Torten;26;Schlangen-Torte;54;70;16
3;Torten;27;Kartoffel-Torte;63;79;16
3;Torten;28;Italienische oder Marmor-Torte;71;87;16
3;Torten;29;Pfund-Torte;79;95;16
3;Torten;30;Kirschen-Torte;86;102;16
3;Torten;31;Wiener Torte;94;110;16
3;Torten;32;Johannisbeer-Torte;101;117;16
3;Torten;33;Demi-Torte;108;124;16
3;Torten;34;Biskuit-Torte;114;130;16
3;Torten;35;Nuß-Torte;121;137;16
3;Torten;36;Englischer Weihnachtskuchen (Christmas-Cake;129;145;16
3;Torten;37;Pyramiden-Torte;138;154;16
3;Torten;38;Apfelsinen-Torte;147;163;16
3;Torten;39;Sand-Torte;153;169;16
3;Torten;40;Rahmschnee-Torte;160;176;16
3;Torten;41;Zwieback-Torte;167;183;16
3;Torten;42;Französische Früchte-Torte (Gäteau Macédoine);174;190;16
3;Torten;43;Blumen-Torte (Jardinière de Nice);180;196;16
3;Torten;44;Aprikosen-Torte;190;206;16
3;Torten;45;Kränzel-Torte;197;213;16
3;Torten;46;Dattel-Torte;203;219;16
3;Torten;47;Blätterteig-Torte;210;226;16
3;Torten;48;Torte mit Ananas;218;234;16
4;Backwerk;49;Püffertchen;43;59;16
4;Backwerk;50;Hefen-Biskuits;44;60;16
