CategoryNo;Category;Number;Title;Page;Image;Offset
1;Suppen;1;Johannisbeersuppe;19;23;4
1;Suppen;2;Kirschen-Suppe;19;23;4
1;Suppen;3;Zwetschen-Suppe;20;24;4
1;Suppen;4;Pflaumenmussuppe;20;24;4
1;Suppen;5;Aepfel-Suppe;21;25;4
1;Suppen;6;Apfelwein-Suppe;21;25;4
1;Suppen;7;Wein-Suppe;22;26;4
1;Suppen;8;Bier-Suppe;22;26;4
1;Suppen;9;Wasser-Suppe;22;26;4
1;Suppen;10;Milch-Suppe;23;27;4
1;Suppen;11;Rahm-Suppe;23;27;4
1;Suppen;12;Chocolade-Suppe;24;28;4
1;Suppen;13;Weißbrot-Suppe;24;28;4
1;Suppen;14;Schwarzbrotsuppe;25;29;4
1;Suppen;15;Reis-Suppe;25;29;4
1;Suppen;16;Hafergrütz-Suppe;26;30;4
1;Suppen;17;Kartoffelmehlsuppe;26;30;4
1;Suppen;18;Suppenmehl-Suppen;26;30;4
1;Suppen;19;Kartoffel-Suppe;28;32;4
1;Suppen;20;Gemüse-Suppe (Julienne à la Jardinière);29;33;4
1;Suppen;21;Sauerampfersuppe;31;35;4
1;Suppen;22;Suppe von grünen Erbsen;31;35;4
1;Suppen;23;Suppe von Spargelwasser;32;36;4
1;Suppen;24;Fleischextrakt-Suppe;32;36;4
1;Suppen;25;Spatzen-Suppe;34;38;4
2;Kaltschalen;1;Wein-Kaltschale;36;40;4
2;Kaltschalen;2;Apfelwein-Kaltschale;36;40;4
2;Kaltschalen;3;Bier-Kaltschale;37;41;4
2;Kaltschalen;4;Wasser-Kaltschale;37;41;4
2;Kaltschalen;5;Heidelbeer-Kaltschale;37;41;4
2;Kaltschalen;6;Erdbeer-Kaltschale;38;42;4
2;Kaltschalen;7;Erdbeer-Kaltschale mit Wein;38;42;4
2;Kaltschalen;8;Heidelbeer-Kaltschale mit Wein;38;42;4
2;Kaltschalen;9;Himbeer- Kaltschale mit Wein;38;42;4
2;Kaltschalen;10;Brombeer-Kaltschalt mit Wein;39;43;4
2;Kaltschalen;11;Johannisbeer-Kaltschale;39;43;4
2;Kaltschalen;12;Himbeer-Kaltschale;39;43;4
2;Kaltschalen;13;Milch-Kaltschale;39;43;4
2;Kaltschalen;14;Rahm-Kaltschale;39;43;4
2;Kaltschalen;15;Saure Milch;40;44;4
2;Kaltschalen;16;Pfirsich-Kaltschale;40;44;4
2;Kaltschalen;17;Aprikosen-Kaltschale;40;44;4
2;Kaltschalen;18;Apfelsinen-Kaltschale;41;45;4
3;Vorspeisen;1;Eier in Remolade;43;47;4
3;Vorspeisen;2;Caviar;44;48;4
3;Vorspeisen;3;Sardellen;44;48;4
3;Vorspeisen;4;Sardellen-Brötchen;45;49;4
3;Vorspeisen;5;Kräuter-Brötchen;45;49;4
3;Vorspeisen;6;Englische Butterbrötchen;45;49;4
3;Vorspeisen;7;Sandwichs;46;50;4
3;Vorspeisen;8;Käseschnittchen;46;50;4
3;Vorspeisen;9;Blätterteigpastetchen;47;51;4
3;Vorspeisen;10;Ramequins;48;52;4
3;Vorspeisen;11;Falsche Austern;48;52;4
3;Vorspeisen;12;Ragoutmuscheln (Coquilles);49;53;4
3;Vorspeisen;13;Schnecken;49;53;4
3;Vorspeisen;14;Illustrirte Gürkchen;50;54;4
3;Vorspeisen;15;Radieschen;51;55;4
4;Gemüse;1;Blumenkohl;54;58;4
4;Gemüse;2;Rosenkohl mit Kastanien;55;59;4
4;Gemüse;3;Rothkohl;56;60;4
4;Gemüse;4;Gefüllter Kohl;56;60;4
4;Gemüse;5;Sauerkraut;57;61;4
4;Gemüse;6;Teltower Rübchen;59;63;4
4;Gemüse;7;Körbelrübchen;59;63;4
4;Gemüse;8;Weiße Rüben;60;64;4
4;Gemüse;9;Möhrchen;60;64;4
4;Gemüse;10;Schwarzwurzeln;61;65;4
4;Gemüse;11;Kohlrabi;61;65;4
4;Gemüse;12;Spinat;62;66;4
4;Gemüse;13;Hopfen als Spargel;62;66;4
4;Gemüse;14;Grüne Erbsen;63;67;4
4;Gemüse;15;Gelbe (trock.) Erbsen;63;67;4
4;Gemüse;16;Linsen;64;68;4
4;Gemüse;17;Weiße Bohnen;64;68;4
4;Gemüse;18;Schneidbohnen;65;69;4
4;Gemüse;19;Wachsböhnchen;65;69;4
4;Gemüse;20;Dicke Bohnen;66;70;4
