CategoryNo;Category;Number;Title;Page;Image;Offset
1;Vorbemerkungen;1;Holzersparnisse;1;37;36
1;Vorbemerkungen;2;Ueber das Beheizen des Fleisches;1;37;36
1;Vorbemerkungen;3;Von dem Beistellen der grünen Gemüse;2;38;36
1;Vorbemerkungen;4;Von dem Beistellen der grünen Gemüse auf andere Art;3;39;36
1;Vorbemerkungen;5;Von dem Beistellen junger Gemüse, als Pflückerbsen, Bohnen und gelben Rüben;3;39;36
1;Vorbemerkungen;6;Von den Hülsefrüchten;4;40;36
2;Suppen;7;Aepfelsuppe;4;40;36
2;Suppen;8;Biersuppe;4;40;36
2;Suppen;9;Blumenkohlsuppe;5;41;36
2;Suppen;10;Bohnensuppe;5;41;36
2;Suppen;11;Grüne Bohnensuppe;6;42;36
2;Suppen;12;Durchgeschlagene Brodsuppe;6;42;36
2;Suppen;13;Butter-Klössuppe;7;43;36
2;Suppen;14;Buttermilchsuppe;7;43;36
2;Suppen;15;Blinde Chokoladesuppe;7;43;36
2;Suppen;16;Eiergerstsuppe;7;43;36
2;Suppen;17;Eiergerstsuppe auf andere Art;8;44;36
2;Suppen;18;Verlorene Eiersuppe;8;44;36
2;Suppen;19;Einlaufsuppe;9;45;36
2;Suppen;20;Endiviensuppe;9;45;36
2;Suppen;21;Erbsensuppe;9;45;36
2;Suppen;22;Französische Suppe;10;46;36
2;Suppen;23;Gerstenschleim;11;47;36
2;Suppen;24;Gerstensuppe;11;47;36
2;Suppen;25;Griesmehlsuppe;11;47;36
2;Suppen;26;Griesmehlsuppe auf andere Art;12;48;36
2;Suppen;27;Griesmehlsuppe auf andere Art;12;48;36
2;Suppen;28;Griesmehlsuppe für kleine Kinder;12;48;36
2;Suppen;29;Hafergrützsuppe;12;48;36
2;Suppen;30;Haferkörnersuppe;13;49;36
2;Suppen;31;Haferkörnersuppe mit Wein;13;49;36
2;Suppen;32;Hühnersuppe;14;50;36
2;Suppen;33;Hühnersuppe auf andere Art;14;50;36
2;Suppen;34;Jussupp;15;51;36
2;Suppen;35;Kartoffelsuppe;16;52;36
2;Suppen;36;Durchgeschlagene Kartoffelsuppe;16;52;36
2;Suppen;37;Kernebsensuppe;17;53;36
2;Suppen;38;Grüne Kernsuppe;17;53;36
2;Suppen;39;Dürre Kirschensuppe;18;54;36
2;Suppen;40;Klostersuppe;18;54;36
2;Suppen;41;Knoten- oder Mehlsuppe;19;55;36
2;Suppen;42;Körbelsuppe;19;55;36
2;Suppen;43;Krebssuppe;19;55;36
2;Suppen;44;Krebssuppe auf einfache Art;20;56;36
2;Suppen;45;Lebersuppe;20;56;36
2;Suppen;46;Leberklösbrühsuppe;21;57;36
2;Suppen;47;Linsensuppe;21;57;36
2;Suppen;48;Mandelsuppe;22;58;36
2;Suppen;49;Markronenklöschen-Suppe;22;58;36
2;Suppen;50;Gebrannte Mehlsuppe;22;58;36
2;Suppen;51;Geröstete Mehlgraupensuppe;23;59;36
2;Suppen;52;Milchsuppe;23;59;36
2;Suppen;53;Nudelsuppe;24;60;36
2;Suppen;54;Feine Paradesuppe;24;60;36
2;Suppen;55;Pfannkuchensuppe;24;60;36
2;Suppen;56;Petersiliensuppe;24;60;36
2;Suppen;57;Rahmsuppe;25;61;36
2;Suppen;58;Reissuppe;25;61;36
2;Suppen;59;Rindfleischsuppe;26;62;36
2;Suppen;60;Rindfleischsuppe mit Markklöschen;26;62;36
2;Suppen;61;Rosinensuppe;26;62;36
2;Suppen;62;Sagosuppe mit Fleischbrühe;27;63;36
2;Suppen;63;Sagosuppe mit Milch;27;63;36
2;Suppen;64;Sagosuppe mit Wein;27;63;36
2;Suppen;65;Salepsuppe für Kinder;28;64;36
2;Suppen;66;Sauerampfersuppe;28;64;36
2;Suppen;67;Schaumsuppe mit Wein;28;64;36
2;Suppen;68;Spargelsuppe;29;65;36
2;Suppen;69;Suppe für kleine Kinder;29;65;36
2;Suppen;70;Suppe für kleine Kinder eine andere Art;29;65;36
2;Suppen;71;Suppe für kleine Kinder noch eine andere Art;30;66;36
2;Suppen;72;Suppe von Zwieback;30;66;36
2;Suppen;73;Eine Wassersuppe;30;66;36
2;Suppen;74;Geröstete Weckmehlsuppe;30;66;36
2;Suppen;75;Weck-Wassersuppe;31;67;36
2;Suppen;76;Weinbergsuppe;31;67;36
2;Suppen;77;Weinsuppe;32;68;36
2;Suppen;78;Weinsuppe auf andere Art;32;68;36
2;Suppen;79;Weinsuppe auf noch andere Art;32;68;36
2;Suppen;80;Weißkrautsuppe;33;69;36
2;Suppen;81;Wurzelsuppe;33;69;36
2;Suppen;82;Zwetschensuppe;33;69;36
2;Suppen;83;Zwiebelsuppe;33;69;36
3;Suppen-Klöschen;84;Butter-Knöpflein in die Suppe;34;70;36
3;Suppen-Klöschen;85;Fleisch-Klöschen;34;70;36
3;Suppen-Klöschen;86;Fleisch-Klöschen auf andere Art;34;70;36
3;Suppen-Klöschen;87;Gries-Klöschen;35;71;36
3;Suppen-Klöschen;88;Grüne Klöschen;35;71;36
3;Suppen-Klöschen;89;Kartoffel-Klöschen zur Suppe;35;71;36
3;Suppen-Klöschen;90;Reis-Klöschen;36;72;36
3;Suppen-Klöschen;91;Gute Suppen-Klöschen;36;72;36
3;Suppen-Klöschen;92;Suppen-Schläppchen;36;72;36
3;Suppen-Klöschen;93;Ordinäre Suppen-Schwämmchen;37;73;36
3;Suppen-Klöschen;94;Gebackene Weck-Klöschen;37;73;36
3;Suppen-Klöschen;95;Recht gute Weck-Klöschen;37;73;36
4;Rindfleisch;96;Bocufstaeck (Beufstaeck);38;74;36
4;Rindfleisch;97;Böf a la Mode;39;75;36
4;Rindfleisch;98;Boeuf à la mode, oder Rindfleisch auf eine gute Art zubereitet;39;75;36
4;Rindfleisch;99;Boeuf à la mode eine andere Art, welche man kalt oder warm geben kann;40;76;36
4;Rindfleisch;100;Gerolltes Ochsenfleisch;41;77;36
4;Rindfleisch;101;Rindfleisch zu kochen;42;78;36
4;Rindfleisch;102;Rindfleisch mit Sardellensauce;42;78;36
5;Gemüse;103;Artischocken;43;79;36
5;Gemüse;104;Bayerisch-Kraut;44;80;36
5;Gemüse;105;Blumenkohl;44;80;36
5;Gemüse;106;Eingemachte Bohnen;45;81;36
5;Gemüse;107;Eingemachte Bohnen auf andere Art;46;82;36
5;Gemüse;108;Frische Bohnen;46;82;36
5;Gemüse;109;Frische Bohnen auf andere Art;47;83;36
5;Gemüse;110;Endivien-Gemüse;47;83;36
5;Gemüse;111;Erd-Kohlraben;47;83;36
5;Gemüse;112;Gelbe Rüben;48;84;36
5;Gemüse;113;Gelbe Rüben auf andere Art;48;84;36
5;Gemüse;114;Häring mit Kartoffeln;49;85;36
5;Gemüse;115;Häring mit Kartoffeln auf andere Art;49;85;36
5;Gemüse;116;Gefüllte Kartoffeln;50;86;36
5;Gemüse;117;Kartoffel-Gemüse;50;86;36
5;Gemüse;118;Kartoffel-Gemüse auf andere Art;50;86;36
5;Gemüse;119;Saures Kartoffel-Gemüse;51;87;36
5;Gemüse;120;Geröstete Kartoffeln;51;87;36
5;Gemüse;121;Geröstete Kartoffeln auf andere Art;52;88;36
5;Gemüse;122;Kartoffeln mit Petersilie;52;88;36
5;Gemüse;123;Kartoffeln mit saurer Brühe;52;88;36
5;Gemüse;124;Köhlkraut;53;89;36
5;Gemüse;125;Kohlraben;53;89;36
5;Gemüse;126;Gefüllte Kohlraben;54;90;36
5;Gemüse;127;Gekochter Kopfsalat;54;90;36
5;Gemüse;128;Laubfrösche;55;91;36
5;Gemüse;129;Makaroni;56;92;36
5;Gemüse;130;Römischkohl-Gemüse;56;92;36
5;Gemüse;131;Rosenkohl;57;93;36
5;Gemüse;132;Rothkraut;57;93;36
5;Gemüse;133;Sauerkraut zu kochen;58;94;36
5;Gemüse;134;Sauerkraut mit Hecht;58;94;36
5;Gemüse;135;Scharpkraut;59;95;36
5;Gemüse;136;Schinkennudeln;60;96;36
5;Gemüse;137;Schwarzwurzel;60;96;36
5;Gemüse;138;Schwarzwurzel-Sauce auf andere Art;60;96;36
5;Gemüse;139;Spargeln;61;97;36
5;Gemüse;140;Spargeln-Sauce auf andere Art;61;97;36
5;Gemüse;141;Spinat;61;97;36
5;Gemüse;142;Teltower Rübchen;62;98;36
5;Gemüse;143;Weißkraut;62;98;36
5;Gemüse;144;Gebackenes Weißkraut;63;99;36
5;Gemüse;145;Gefülltes Weißkraut;63;99;36
5;Gemüse;146;Weiße Rüben;64;100;36
5;Gemüse;147;Würsing-Gemüse;65;101;36
5;Gemüse;148;Zuckererbsen-Gemüse;65;101;36
6;Beilagen zum Gemüse;149;Eine Beilage;65;101;36
6;Beilagen zum Gemüse;150;Bratwürste mit Eiern;66;102;36
6;Beilagen zum Gemüse;151;Bratwürstchen;66;102;36
6;Beilagen zum Gemüse;152;Butterbrod;66;102;36
6;Beilagen zum Gemüse;153;Gerührte Eier;67;103;36
6;Beilagen zum Gemüse;154;Gebackenes Fleisch als Beilage zum Gemüse;67;103;36
6;Beilagen zum Gemüse;155;Fleisch-Pfannkuchen;67;103;36
6;Beilagen zum Gemüse;156;Fleisch-Schnitten;68;104;36
6;Beilagen zum Gemüse;157;Frikadellen;68;104;36
6;Beilagen zum Gemüse;158;Frikando;69;105;36
6;Beilagen zum Gemüse;159;Frikando auf andere Art;69;105;36
6;Beilagen zum Gemüse;160;Hammels-Karbonaden;70;106;36
6;Beilagen zum Gemüse;161;Gebackene Kalbsfüße;70;106;36
6;Beilagen zum Gemüse;162;Gebackene Kalbsfüße auf andere Art;70;106;36
6;Beilagen zum Gemüse;163;Gebackenes Kalbshirn;71;107;36
6;Beilagen zum Gemüse;164;Gebackenes Kalbshirn auf andere Art;71;107;36
6;Beilagen zum Gemüse;165;Kalbs-Karbonaden;71;107;36
6;Beilagen zum Gemüse;166;Gebackene Kalbsleber;71;107;36
6;Beilagen zum Gemüse;167;Gebackene Kalbsleber auf Oesterreicher Art;72;108;36
6;Beilagen zum Gemüse;168;Gebackene Kalbsmilche;72;108;36
6;Beilagen zum Gemüse;169;Kartoffel-Küchlein;72;108;36
6;Beilagen zum Gemüse;170;Kartoffel-Pfannkuchen;73;109;36
6;Beilagen zum Gemüse;171;Kartoffel-Würstchen;73;109;36
6;Beilagen zum Gemüse;172;Kastanien als Beilage zum Gemüse;74;110;36
6;Beilagen zum Gemüse;173;Gebackene Ochsenzungen;74;110;36
6;Beilagen zum Gemüse;174;Omeletten;75;111;36
6;Beilagen zum Gemüse;175;Rolade;75;111;36
6;Beilagen zum Gemüse;176;Schweine-Karbonaden;76;112;36
6;Beilagen zum Gemüse;177;Servelat-Würste;76;112;36
6;Beilagen zum Gemüse;178;Spatzen;76;112;36
7;Gedämpfte Speisen (Ragouts);179;Bratwurst mit einer Sauce;77;113;36
7;Gedämpfte Speisen (Ragouts);180;Frikasee von jungen Hühnern;77;113;36
7;Gedämpfte Speisen (Ragouts);181;Frikasee von jungen Hühnern auf andere Art;79;115;36
7;Gedämpfte Speisen (Ragouts);182;Frikasee von Kalbfleisch;79;115;36
7;Gedämpfte Speisen (Ragouts);183;Gänseleber;80;116;36
